Name,P,q,M1,M2,R1,R2,L1,L2,T1,T2,E_Type
TX Her,2.0598094,0.12,2.05,0.25,2.75,8.7,16.98,1.9498446,5550,6180,D
TX GEM,2.80001,0.74,1.09,0.81,1.73,5.01,3.19,6.22,5890,4090,D
TX CET,0.74084,0.9,2.8,2.55,2.4,2.25,72,63.09573445,10402,10400,D
TW LAC,3.03746,0.69,2.22,1.54,2.53,2.11,27.46,11.48,8350,7340,D
TW HER,2.881,0.7,1.46,1.02,1.53,1.2,2.56,1.45,5940,5800,D
TW DRA,2.80684,0.286,2.5,0.72,1.92,2.02,22,3.8,9000,5688,D
TW AND,4.12275,0.73,1.48,1.09,1.43,1.19,2.76,1.53,6250,5890,D
TV NOR,8.52441,0.3,1.92,0.58,1.8,1.75,19.36,1,9050,4390,D
TV MUS,0.445701,0.94,2.73,2.57,2.26,2.19,40.36,32.49,9710,9340,D
TV Cet,9.1032884,0.65,1.27,0.85,1.4,0.92,3.63,0.37,5680,5100,D
TV CAS,1.81261,0.94,2.73,2.57,2.26,2.19,40.36,32.49,9710,9340,D
TU Lyn,38.9461,0.13,1.9,0.25,2.6,11.4,12.3,94.68111792,8100,5340,D
TU HER,2.26695,0.74,1.49,1.1,1.34,0.87,2.71,0.76,6430,5800,D
TU CNC,5.56145,0.51,2.64,1.36,2.36,3.21,44.94,9.57,9780,5700,D
TU BOO,0.324886,0.98,1.25,1.2,1.35,1.35,2.69,2.691534804,17000,6350,D
TT PYX,1.51577,0.74,1.09,0.81,1.73,5.01,3.19,6.22,5890,4090,D
TT HYA,6.95341,0.73,1.49,1.09,1.56,1.4,2.57,1.98,5880,5820,D
TT HER,0.91208,0.74,1.49,1.09,1.39,0.92,3.23,0.85,6590,5790,D
TT DEL,2.87112,0.69,2.23,1.54,1.34,1.2,4.95,4.39,7470,7640,D
TT CET,0.485983,0.94,1.45,1.35,2.15,2.05,7.24,5.12861384,6180,6820,D
TT AUR,1.33273,0.74,1.49,1.1,1.3,1.18,1.85,1.3,5930,5690,D
TT AND,2.76516,0.5,3.33,1.67,3.06,3.06,93.96,20.94,10320,7090,D
T LMI,3.01993,0.51,2.64,1.36,2.36,3.21,44.94,9.57,9780,5700,D
SZ PSC,3.96637,0.8,2.95,2.35,2.13,1.79,41.64,15.27,10090,8560,D
SZ OPH,2.0633,0.5,5.42,2.71,5.21,6.98,280.85,122.85,10410,7310,D
SZ HER,0.818093,0.61,2.78,1.71,2.98,2.06,77.88,6.83,9970,6530,D
SZ CMA,2.85608,0.68,2.87,1.94,2.64,2.88,49.46,12.16,9500,6400,D
SZ CEN,4.10799,0.94,2.73,2.57,2.26,2.19,40.36,32.49,9710,9340,D
SY CYG,6.00563,0.51,2.64,1.36,2.36,3.21,44.94,9.57,9780,5700,D
SY CEN,6.63136,0.51,2.64,1.36,2.36,3.21,44.94,9.57,9780,5700,D
SY AND,34.9086,0.7,1.46,1.02,1.41,1.1,2.13,1.11,5900,5680,D
SX SGR,4.154,0.67,1.19,0.81,1.29,1.29,1.68,1.68,5820,5820,D
SX PSC,0.825882,0.97,1.33,1.3,1.45,1.4,4.68,4.168693835,6280,6670,D
SX HYA,2.89574,0.87,1.61,1.39,1.43,1.43,2.14,2.14,5850,5850,D
SX DRA,5.16925,0.67,1.19,0.81,1.29,1.1,1.67,1.17,5820,5740,D
SX Crv...,0.3166,0.69,2.25,1.55,2.3,2.3,48.23,13.54,10080,7320,D
SX CRV,0.316639,0.67,1.9,1.25,1.9,1.4,12.3,4.168693835,6280,6670,D
SX CMA,1.62426,0.6,2.15,1.3,2,1.4,23.99,4.168693835,6280,6670,D
SX CAS,36.7651,0.47,5.18,2.46,2.88,3.94,66.69,15.08,9760,5750,D
SW RET,0.52274,0.6,2.76,1.64,3.01,2.47,59.12,18.61,9270,7650,D
SW PUP,2.74734,0.49,2.56,1.25,2.26,1.16,42.87,3.13,9860,7150,D
SW OPH,2.44603,0.286,2.5,0.72,1.92,2.02,22,3.8,9000,5688,D
SW LAC,0.32072,0.54,2.4,1.3,2.2,1.4,38.02,4.677351413,6280,6750,D
SW CMa,10.092,0.26,7.1,1.85,4.1,3.71,299.98,5.78,11930,4670,D
SW CEN,5.21954,0.51,2.64,1.36,2.36,3.21,44.94,9.57,9780,5700,D
SV TAU,2.1669,0.77,1.01,0.78,1,0.93,0.82,0.6,5520,5280,D
SV EQU,0.881,0.84,2.65,2.24,3.49,15.84,10.66,29.79,5610,3400,D
SV CEN,1.65898,0.91,2.6,2.5,2.3,2.25,72,63.09573445,10402,10400,D
SV CAM,0.593071,0.35,5.18,1.82,2.05,1.52,8.96,17.62,10480,5620,D
SU PSC,2.68141,0.62,1.39,0.87,1.77,1.77,3.08,1.88,5770,5100,D
SU FOR,2.43466,0.87,2.68,2.32,1.94,1.94,19.7,19.7,8770,8770,D
SU Cep,0.9014,0.4,2.14,0.86,2.28,2.79,14.4,8.89,8900,4560,D
SU CEN,5.35433,0.51,2.64,1.36,2.36,3.21,44.94,9.57,9780,5700,D
SU BOO,1.56125,0.6,5.54,3.34,2.66,3.11,83.07,47.78,10750,8620,D
SU AQR,1.0447,0.77,1.05,0.81,1.15,1.15,1.16,0.76,5600,5050,D
ST PER,2.64833,0.5,2.67,1.33,2.16,3.09,51.11,10.19,10560,5890,D
ST CEN,1.22342,0.74,2.29,1.69,1.87,1.55,10.35,4.78,7610,6870,D
ST CAR,0.90165,0.69,2.25,1.55,2.3,2.3,48.23,13.54,10080,7320,D
ST AQR,0.781014,0.57,2.05,1.16,2,1.27,16.98,1.9498446,5550,6180,D
SS LIB,1.438,0.59,2.2,1.3,2.9,1.45,23.99,4.168693835,6280,6670,D
SS LAC,14.4163,0.79,1.23,0.97,3.93,3.57,15.34,10.32,5790,5500,D
SS COM,0.412792,0.61,2.78,1.71,2.47,2.45,31.28,13.28,8730,7060,D
SS CET,2.97396,0.73,1.49,1.08,2.03,1.4,6.9,2.03,6590,5840,D
SS CEN,2.47872,0.7,1.46,1.01,1.66,1.37,4.88,2.04,6700,5910,D
SS CAM,4.8243,0.286,2.5,0.72,1.92,2.02,22,3.8,9000,5688,D
S VEL,5.936,0.66,2.86,1.9,2.91,5.96,61.57,57.96,9520,6550,D
S EQU,3.43607,0.78,1.12,0.87,1.37,1.19,2.01,1.47,5910,5850,D
S CNC,9.48453,0.53,5.33,2.8,2.62,4.68,63.38,21.56,10120,5770,D
S ANT,0.648345,0.87,3.21,2.78,1.89,1.89,25.71,25.71,9510,9510,D
RZ Tau...,0.4157,0.75,3.01,2.26,2.36,1.57,42.61,9.78,9640,8170,D
RZ SCT,15.1902,0.69,2.23,1.54,2.19,1.99,19.64,9.04,8250,7130,D
RZ PYX,0.65627,0.74,2.28,1.69,1.53,1.68,7.35,2.58,7720,5660,D
RZ Mic,3.983051,0.83,1.15,0.95,1.27,1.05,1.95,0.91,5480,5680,D
RZ Lyn,1.146918,0.15,2.4,0.36,3,3.7,38.02,12.06,8286.482914,6417,D
RZ ERI,39.2826,0.5,3.33,1.67,3.55,6.21,93.96,34.94,9590,5660,D
RZ DRA,0.550877,0.286,2.5,0.72,1.92,2.02,22,3.8,9000,5688,D
RZ Com...,0.3385,0.6,5.54,3.34,2.66,3.11,83.07,47.78,10750,8620,D
RZ CNC,21.643,0.51,5.27,2.67,3.73,10.08,145.24,102.47,10420,5800,D
RZ CHA,2.83209,0.58,2.03,1.17,2.02,1.28,26.91,3.67,9290,7100,D
RZ CEN,1.87595,0.3,2.92,0.88,2.19,3.66,35.67,5.53,9570,4650,D
RZ CAS,1.19525,0.286,2.5,0.72,1.92,2.02,22,3.8,9000,5688,D
RZ AUR,3.0106,0.49,6.1,2.99,3.21,1.85,184.61,22.36,11930,9290,D
RY PER,6.86357,0.56,2.15,1.2,2,1.3,23.99,2.691534804,17000,6350,D
RY IND,0.712105,0.61,5.56,3.39,3.03,3.77,127.15,58.49,11190,8250,D
RY Gem,9.300567,0.18,2.05,0.37,2.75,4.4,16.98,19.36,8600,5780,D
RY ERI,4.97927,0.64,2.44,1.56,1.86,1.78,27.97,3.18,9800,5800,D
RY AUR,2.72539,0.68,2.22,1.51,1.59,1.75,12.71,7.03,8690,7140,D
RY AQR,1.96662,0.77,1.01,0.78,1,0.93,0.82,0.6,5520,5280,D
RX VEL,3.11183,0.87,2.47,2.13,2.24,2.25,16.32,16.53,7790,7790,D
RX HYA,2.28163,0.71,1.46,1.04,2.03,1.89,4.87,3.86,6060,5910,D
RX Her,1.78,0.67,2.88,1.93,2.12,2.17,18.62,3.21,8280,5260,D
RX GEM,12.2086,0.87,1.61,1.39,1.35,1.25,1.78,1.48,5750,5730,D
RX Dra,3.7863886,0.7,1.15,0.81,1.25,0.88,1.95,0.37,5680,5100,D
RX ARI,1.02963,0.73,1.48,1.09,1.34,0.89,2.3,0.69,6180,5600,D
RW TAU,2.76885,0.73,1.49,1.09,1.54,1.19,2.56,1.38,5910,5740,D
RW PSA,0.360451,0.69,2.25,1.55,2.3,2.3,48.23,13.54,10080,7320,D
RW PER,13.1989,0.65,1.42,0.92,1.3,0.84,2.5,0.76,6390,5910,D
RW MON,1.90609,0.6,2.87,1.72,2.51,2.16,46.65,8.54,9540,6740,D
RW Lac,10.36922,0.4,2.4,0.96,2.5,1.05,38.02,0.55,5170,5380,D
RW Gem,2.8654972,0.48,5.2,2.5,3.51,4.06,167.71,34.91,11140,6980,D
RW CRB,0.726411,0.51,2.64,1.36,2.36,3.21,44.94,9.57,9780,5700,D
RW CET,0.975185,0.52,2.65,1.38,2.21,2.19,30.91,12.23,9200,7320,D
RW ARA,4.36741,0.72,1.42,1.02,1.69,0.98,3.91,0.99,6300,5840,D
RV VEL,4.8211,0.58,2.01,1.16,6.17,5.13,31.13,22.42,5510,5570,D
RV TRI,0.753668,0.286,2.5,0.72,1.92,2.02,22,3.8,9000,5688,D
RV TEL,8.32808,0.68,2.89,1.96,2.32,2.29,37.19,6.65,9400,6150,D
RV PSC,0.553992,0.61,2.78,1.71,2.47,2.45,31.28,13.28,8730,7060,D
RV PER,1.97349,0.68,2.89,1.96,2.01,2.96,19.24,8.82,8570,5800,D
RV LYR,3.599,0.7,1.46,1.02,1.53,1.2,2.56,1.45,5940,5800,D
RV LIB,10.7222,0.36,2.76,0.99,3.02,0.91,63.88,0.73,9440,5620,D
RV GRU,0.259519,0.286,2.5,0.72,1.92,2.02,22,3.8,9000,5688,D
RV Aps,34.074,0.3,2.05,0.62,2.75,5.45,16.98,18.28780132,8600,5120,D
RU UMI,0.524926,0.82,1.75,1.45,1.8,1.6,10,7.244359601,5930,7220,D
RU Mon,3.584749,0.45,9.2,4.15,8,12.6,2692,63.09573445,10402,10400,D
RU GRU,1.89664,0.68,1.45,0.99,1.51,1.92,2.18,0.62,5730,3710,D
RU CNC,10.173,0.8,2.4,1.92,2.98,5.69,25.19,22.85,7510,5310,D
RT UMI,1.84198,0.68,2.89,1.96,2.01,2.96,19.24,8.82,8570,5800,D
RT SCL,0.511567,0.73,2.88,2.11,2.37,3.24,49.92,58.5,10040,8920,D
RT PER,0.8494,0.286,2.5,0.72,1.92,2.02,22,3.8,9000,5688,D
RT LMI,0.374,0.86,1.07,0.92,1.05,1.41,0.9,0.92,5510,4770,D
RT LEO,7.44791,0.94,2.73,2.57,2.26,2.19,40.36,32.49,9710,9340,D
RT LAC,5.07402,0.64,2.44,1.56,1.86,1.78,27.97,3.18,9800,5800,D
RT CRB,5.11712,0.93,1.06,0.99,1.28,1.21,1.75,1.31,5900,5660,D
RT CMA,1.29377,0.75,2.88,2.16,2.55,4.3,49.62,18.63,9660,5850,D
RT AND,0.628931,0.44,2.55,1.13,1.86,2.1,13.65,4.26,8160,5740,D
RS VUL,4.47766,0.68,2.19,1.49,1.87,1.1,19.09,2.34,8900,6840,D
RS UMI,6.1686,0.67,2.88,1.94,2.95,4.83,39.44,21.62,8460,5680,D
RS Sgr,2.4156832,0.48,2.56,1.23,1.48,1.73,9.5,0.61,8370,3900,D
RS SER,0.59814,0.94,1.33,1.25,1.45,1.35,5.13,3.630780548,6280,6550,D
RS SCT,0.664237,0.99,1.08,1.07,1.34,1.04,2.07,1.35,6010,6150,D
RS LEP,1.28854,0.74,1.49,1.11,1.4,0.95,2.13,0.88,5920,5760,D
RS Ind...,0.6241,0.71,2.93,2.07,2.26,3.78,38.81,13.77,9620,5750,D
RS IND,0.624065,0.51,2.76,1.39,2.27,1.98,40.51,7.72,9680,6870,D
RS CRT,0.8168,0.83,2.52,2.09,3.51,8.47,29.53,34.82,7190,4840,D
RS COL,0.67235,0.67,2.85,1.91,2.6,3.39,47.93,15.27,9490,6220,D
RS CEP,12.4201,0.48,2,0.96,1.6,2.73,6.58,7.36,7340,5770,D
RR VEL,1.85418,0.74,2.99,2.22,2.47,1.78,46.22,9.06,9620,7530,D
RR PUP,6.42963,0.86,1.55,1.34,1.94,1.64,5.52,3.17,6410,6080,D
RR NOR,3.02755,0.35,1.71,0.59,5.29,12.58,133.22,4.37,7470,5010,D
RR Lyn,9.945079,0.11,2.4,0.26,2.5,6.8,38.02,1.9498446,5550,6180,D
RR LEP,0.915428,0.85,2.44,2.06,4.53,4.53,74.78,11.56,8010,5020,D
RR Cen...,0.606,0.91,4.97,4.53,3.27,3.02,289.98,216,13240,12800,D
RR Cen,0.60569079,0.85,2.76,2.34,2.44,1.99,36.79,26.59,9150,9350,D
RR ARI,47.9,0.6,2.12,1.28,2.03,1.72,14.14,2.52,7900,5560,D
R CMA,1.13594,0.7,1.46,1.03,1.5,0.87,2.34,0.75,5860,5790,D
R ARA,4.42507,0.67,4.77,3.17,2.63,2.96,75.94,54.35,10560,9140,D
QX Car,4.48,0.3,2.92,0.88,2.19,3.66,35.67,5.53,9570,4650,D
QX And...,0.4118,0.84,2.45,2.05,2.48,1.98,53.46,29.02,9960,9550,D
QW Gem...,0.3581,0.95,2.56,2.44,1.34,2.95,12.63,11.35,9450,6200,D
QT CYG,3.33559,0.74,1.49,1.1,1.34,0.87,2.71,0.76,6430,5800,D
QS AQL,2.51329,0.67,3.85,2.55,3.3,2.3,302,63.09573445,10402,10400,D
QR CAR,1.19738,0.74,1.1,0.82,1.06,1.88,1.06,1.22,5720,4430,D
PY LYR,0.385767,0.25,2.4,0.6,2.13,2.22,17.12,2.54,8090,4910,D
PX CAR,0.795101,0.86,3.21,2.76,3.51,3.22,89.05,73.11,9510,9440,D
PV CRV,0.74728,0.64,4.58,2.94,2.33,2.05,86.71,10.69,11850,7320,D
PV Cas,1.7504699,0.45,3,1.35,3.6,6.7,72,5.12861384,6180,6820,D
PR DRA,2.83131,0.71,1.46,1.03,1.47,1.36,2.33,1.87,5900,5810,D
PK LAC,1.53732,0.36,1.99,0.72,2.14,4.85,22.13,12.64,8610,4970,D
OX CAS,1.24468,0.62,1.47,0.91,1.69,0.58,4.1,0.3,6320,5610,D
OU Ser...,0.2968,0.71,2.82,1.99,2.6,3.77,46.64,36.51,9420,7350,D
OU Cyg,0.560327,0.27,2.25,0.6,3,20.7,30.9,174.9029922,9300,4620,D
OR CAS,1.25571,0.49,2.6,1.27,2.01,4.96,34.75,38.62,9950,6480,D
NZ PER,0.937919,0.76,3.01,2.28,2.74,2.13,48.94,27.5,9260,9090,D
NY CEP,15.2756,0.87,1.61,1.39,2.15,2.15,5.31,4.49,6010,5760,D
NP Per,4.457161,0.2,2.05,0.41,2.75,6.05,16.98,16.83554603,8600,4760,D
NP CEN,2.85299,0.94,2.73,2.57,2.26,2.19,40.36,32.49,9710,9340,D
NN Lac,15.71889,0.12,2.4,0.29,3.1,9.6,38.02,0.41,5170,5170,D
NGC 7142 V1,15.651,0.69,2.23,1.55,3.09,2.91,28.42,21.04,7610,7270,D
MY Mon,8.6692,0.19,1.65,0.31,2.35,5.15,9.12,30.44942639,7590,5983,D
MY CYG,4.00519,0.94,2.73,2.57,2.26,2.19,40.36,32.49,9710,9340,D
MX MON,0.686446,0.48,2.56,1.23,1.48,1.73,9.5,0.61,8370,3900,D
MW PAV,0.794991,0.97,1.35,1.3,1.5,1.45,7.24,4.677351413,6280,6750,D
MU Cas,3.861145,0.45,2.4,1.1,3.05,13,38.02,35.02948715,9700,3900,D
MU 1 SCO,1.44027,0.3,2.92,0.88,2.19,3.66,35.67,5.53,9570,4650,D
MT HER,0.487718,0.69,2.25,1.55,2.3,2.3,48.23,13.54,10080,7320,D
MS Cas,1.1727363,0.4,2.4,0.96,2.5,1.05,38.02,0.55,5170,5380,D
MR Cyg,1.6670336,0.18,2.05,0.37,2.75,8.45,16.98,17.38225827,8600,4060,D
MR Cen,3.91373,0.23,2.05,0.47,2.7,7.5,16.98,11.90023235,8600,3920,D
MR CAS,0.352936,0.26,7.1,1.85,4.1,3.71,299.98,5.78,11930,4670,D
MQ PUP,1.46856,0.68,1.45,0.99,1.51,1.92,2.18,0.62,5730,3710,D
MQ CEN,3.68693,0.76,2.05,1.55,2.3,1.95,10,7.244359601,5930,7220,D
MP CEN,2.99345,0.67,2.88,1.93,3.97,8.89,65.63,45.37,8290,5040,D
MN CEN,3.48916,0.7,2.05,1.45,2,1.6,16.98,7.244359601,5930,7220,D
MN CAS,0.958462,0.63,1.4,0.88,2.21,2.11,7.58,5.53,6470,6110,D
MG1-78457,1.586,0.47,5.2,2.46,4.06,6.12,121.43,27.43,9550,5350,D
M4 V69,48.188,0.82,2.4,1.97,3.19,2.9,37.43,17.54,8030,6960,D
M4 V66,8.111,0.7,2.23,1.55,1.76,1.41,12.41,4.35,8200,7060,D
LY Lac,1.5451538,0.24,1.88,0.45,2.6,4.45,12.3,3.630780548,6280,6550,D
LY AUR,4.0025,0.7,1.46,1.02,1.52,1.36,2.56,1.8,5950,5740,D
LW CEN,1.00257,0.3,2.92,0.88,2.19,3.66,35.67,5.53,9570,4650,D
LV Lac,13.17027,0.12,2.5,0.3,3.2,7.4,38.02,43.28506708,9700,5450,D
LV HER,5.2674,0.74,2.99,2.23,3.11,2.78,73.97,59.05,9640,9640,D
LT Pup,1.642693,0.19,2.15,0.4,2.85,7.4,23.99,17.40648194,8800,4340,D
LT HER,1.08405,0.62,1.4,0.86,2.04,4.46,4.46,7.13,5890,4480,D
LT Gem,1.2516,0.84,0.98,0.82,1.34,1.21,1.87,0.96,5850,5220,D
LT Cen,1.625914,0.22,2.05,0.45,2.7,6.8,16.98,9.584399324,8600,3900,D
LT Ara,12.974,0.18,2.4,0.43,2.5,5.6,63.09573445,19.30832251,10409,5120,D
LSPM J1112+7626,41.033,0.67,2.88,1.93,2.12,2.17,18.62,3.21,8280,5260,D
LR CAS,4.45582,0.72,1.9,1.35,1.9,1.5,12.3,6.165950019,6350,7020,D
LR Aur,19.7803,0.18,2.05,0.37,2.7,4.9,16.98,18.9787155,8600,5450,D
LR ARA,1.5193,0.87,1.61,1.39,1.35,1.25,1.78,1.48,5750,5730,D
LP ARA,8.5323,0.4,8.34,3.37,4.87,6.7,475.22,104.07,12260,7140,D
LN CYG,0.523945,0.52,2.65,1.38,2.21,2.19,30.91,12.23,9200,7320,D
LAM TAU,3.95295,0.25,1.8,0.45,1.76,1.06,6.61,0.44,7000,4580,D
KZ PAV,0.94988,0.56,1.8,1.01,2.84,2.49,82.71,12.59,10370,6920,D
KY Gem,12.3317,0.2,2.5,0.5,2.3,4.9,72,17.4922564,10700,5340,D
KW PER,0.931255,0.7,2.05,1.45,2,1.6,16.98,7.244359601,5930,7220,D
KW Hya,7.75,0.86,3.21,2.77,2.57,2.56,49.84,49.79,9620,9620,D
KV CYG,2.83899,0.86,1.6,1.38,1.29,1.24,1.93,1.41,6010,5660,D
KU Cyg,38.4393,0.3,2.92,0.88,2.19,3.66,35.67,5.53,9570,4650,D
KU AUR,1.31958,0.77,3.04,2.33,5.62,8.32,171.54,83.69,8850,6070,D
KT Cen,4.130435,0.18,3.2,0.58,3.8,6.85,38.02,9.72586456,9700,3900,D
ksi Phe,1.6697671,0.14,2.15,0.29,2.75,14,16.98,41.46569852,8600,3920,D
KR CYG,0.845152,0.63,4.7,2.97,3.48,3.77,120.34,67.58,10300,8540,D
KR CAS,4.90428,0.48,5.19,2.47,3.44,3.69,96.38,15.39,9790,5970,D
KQ CAR,2.31838,0.54,2.4,1.3,2.2,1.4,38.02,4.677351413,6280,6750,D
KP AQL,3.36748,0.85,2.9,2.47,1.85,1.71,24.48,21.5,9800,9496,D
KIC 9777062,19.23,0.74,2.99,2.22,2.7,2.46,57.17,46.91,9730,9670,D
KIC 3221207,0.4738303,0.74,2.99,2.2,2.68,2.65,46.9,34.03,9270,8600,D
KIC 11285625,10.79,0.51,8.78,4.47,3.81,5.83,1532.71,279.42,18600,9810,D
Kepler-34,27.796,0.7,2.23,1.56,1.64,1.47,6.59,3.87,7260,6700,D
K0 AQL,2.86403,0.77,1.12,0.86,1.11,1.46,4.89,6,8190,7480,D
IZ PER,3.68766,0.78,1.05,0.82,1.18,1.64,1.18,1,5540,4530,D
IY Cen,20.461,0.12,2.4,0.29,3.1,9.6,38.02,0.41,5170,5170,D
IV CEN,19.138,0.28,2.69,0.76,4.41,5.52,39.47,20.38,6930,5240,D
IV CAS,0.998505,0.95,1.4,1.33,1.55,1.45,7.24,4.677351413,6280,6750,D
IU PER,0.857021,0.78,1.12,0.86,1.18,2.35,1.28,1.66,5670,4290,D
IU AUR,1.81147,0.3,2.92,0.88,2.19,3.66,35.67,5.53,9570,4650,D
IT NOR,0.63579,0.7,2.91,2.03,6.17,9.51,14.08,14.72,4520,3690,D
IT Cas,3.896638,0.74,1.1,0.8,1.2,0.9,1.35,0.37,5680,5100,D
IS Tel,2.31,0.36,2.76,0.99,3.02,0.91,63.88,0.73,9440,5620,D
IS CRA,3.23658,0.74,2.99,2.23,2.37,1.72,29.73,11.71,8800,8150,D
IS CAS,1.84152,0.7,5.82,4.05,5.07,5.91,701.5,468.22,13250,11070,D
IR CAS,0.680692,0.48,2.6,1.26,3.19,0.58,56.63,0.42,8900,6120,D
IQ Car,14.286,0.2,2.05,0.41,2.75,4.2,16.98,15.10380582,8600,5560,D
IO Aqr,2.368,0.69,2.25,1.55,2.3,2.3,48.23,13.54,10080,7320,D
IM Vir,1.309,0.73,1.49,1.09,1.27,1.08,1.48,1.04,5670,5620,D
IM MON,1.19024,0.62,1.4,0.87,1.91,2.44,4.05,2.1,5950,4460,D
IM AUR,1.2473,0.71,2.82,1.99,2.6,3.77,46.64,36.51,9420,7350,D
IL Mon,4.02631,0.2,1.9,0.38,2.55,6,12.3,14.69464333,8100,4620,D
IL CAS,3.45165,0.73,1.48,1.09,1.34,0.89,2.3,0.69,6180,5600,D
II MON,16.1076,0.47,5.2,2.46,4.06,6.12,121.43,27.43,9550,5350,D
HZ Car,38.35941,0.23,1.9,0.44,2.3,4.55,12.3,16.36430061,8100,5450,D
HY Vir,2.732,0.83,2.42,2.01,1.32,1.15,7.78,2.78,8440,6990,D
HY Mon,1.56574,0.6,1.1,0.65,1.2,0.7,1.35,0.14,5930,4300,D
HV Car,2.583908,0.22,2.05,0.45,2.7,5.5,16.98,15.62422,8600,4900,D
HU TAU,2.0563,0.36,6.76,2.43,2.96,7.3,67.12,23.06,9660,4710,D
HU Per,17.2544,0.25,2.05,0.51,2.75,4.55,16.98,15.08260883,8600,5340,D
HS Hya,1.568042,0.44,2.25,1,2.1,1.1,30.9,0.89,5270,5660,D
HS HER,1.63744,0.61,1.39,0.85,2,2.75,9.96,4.95,7290,5210,D
HS Aur,9.815378,0.18,1.9,0.34,2.55,7.25,12.3,24.17644664,8100,4760,D
HP Aur,1.4228132,0.35,2.4,0.85,3.05,7.6,38.02,26.56706888,9700,4760,D
HO TEL,1.61314,0.57,2.09,1.2,1.61,1.28,13.89,2.51,8830,6440,D
HO MON,7.89448,0.51,2.64,1.36,2.36,3.21,44.94,9.57,9780,5700,D
HN Car,1.3918766,0.16,2.05,0.33,2.75,9.9,16.98,23.85960062,8600,4060,D
HL Cyg,9.676994,0.16,2.4,0.38,3.05,5.75,38.02,18.66273284,9700,5010,D
HL Car,18.22465,0.12,2.4,0.29,3.1,9.6,38.02,0.41,5170,5170,D
HK Vul,20.3607692,0.23,1.9,0.44,2.6,4.5,12.3,14.75294427,8100,5340,D
HI CAR,2.22734,0.68,2.05,1.4,2,1.55,16.98,6.165950019,6350,7020,D
HD 71636,5.013,0.7,2.23,1.55,1.76,1.41,12.41,4.35,8200,7060,D
GZ And...,0.305,0.47,1.98,0.93,1.97,2.12,16.28,6.15,8300,6260,D
GX LAC,6.3549,0.73,1.49,1.09,1.27,1.08,1.48,1.04,5670,5620,D
GX Gem,4.038,0.87,2.68,2.32,1.94,1.94,19.7,19.7,8770,8770,D
GW GEM,0.659444,0.726607707,1.282035349,0.931536765,1.615102168,0.974092052,3.411929116,0.671428853,6180.164001,5296.634439,D
GW CEP,0.31885,0.81,2.39,1.94,1.86,2.43,11.37,2.68,7810,4750,D
GV CYG,0.990678,0.32,10.97,3.51,6.03,8.15,577.07,168.33,11600,7330,D
GV CAR,4.29462,0.77,3.17,2.43,5.62,5.59,65.23,14.74,6930,4810,D
GU Pup,1.652698,0.25,2.4,0.6,3.06,7.6,38.02,14.06112164,9700,4060,D
GU Her,4.342921,0.25,2.4,0.6,3.05,6.3,38.02,16.20084427,9700,4620,D
GU Car,3.49056,0.2,2.05,0.41,2.75,7.2,16.98,16.47830577,8600,4340,D
GT CEP,4.90876,0.66,9.5,6.23,3.25,3.94,462.98,232.05,14920,11400,D
GSC 4482 0673,5.5465963,0.72,2.96,2.14,4.17,7.15,128.42,99.73,9560,6850,D
GSC 4354 071 โ’ 4,5.5577746,0.38,4.96,1.89,2.82,3,79.91,16.61,10090,6750,D
GS CEP,0.772002,0.6,2.4,1.45,2.2,1.6,38.02,7.244359601,5930,7220,D
GR Vir...,0.347,0.69,2.25,1.55,2.3,2.3,48.23,13.54,10080,7320,D
GR TAU,0.474012,0.69,2.9,2.01,3.3,7.81,81.15,77.82,9580,6160,D
GR Car,17.13952,0.4,2.4,0.96,2.5,1.05,38.02,0.55,5170,5380,D
GQ TRA,2.33948,0.24,2.15,0.51,2.58,5.67,45.22,15.57,9360,4840,D
GP CEP,6.6881,0.53,5.33,2.8,2.62,4.68,63.38,21.56,10120,5770,D
GO Mon,12.467,0.2,1.55,0.31,2.25,6.75,8.32,0.68,5270,5480,D
GO CYG,0.717763,0.62,1.39,0.87,1.77,1.77,3.08,1.88,5770,5100,D
GN SGE,1.4396,0.91,4.97,4.53,3.27,3.02,289.98,216,13240,12800,D
GN Hya,2.2495444,0.23,2.8,0.64,3.5,8.1,72,30.17772488,10700,4760,D
GM Sct,2.7307,0.3,2.4,0.7,3.2,10,38.02,24.34404716,9700,4060,D
GM CYG,4.7458,0.59,2.1,1.24,2.33,2.56,34.8,21.54,9240,7810,D
GM CAR,1.53543,0.34,2.79,0.96,3.77,8.67,36.59,23.19,7350,4330,D
GK Hya,3.587052,0.18,2.2,0.4,2.9,7.2,23.99,16.47830577,8800,4340,D
GH Tel,20.684,0.2,2.05,0.41,2.75,4.5,16.98,16.00662177,8600,5450,D
GH Peg,2.556136,0.4,2.4,0.96,2.5,1.05,38.02,0.55,5170,5380,D
GG Ori,6.631,0.72,1.08,0.78,1.78,4.41,3.5,3.49,5940,3770,D
GG Lup,2.164175,0.25,2.15,0.54,2.8,7.3,23.99,14.85701385,8800,4200,D
GG CYG,2.00836,0.12,1.87,0.23,1.16,2.32,6.92,3.52,8720,5220,D
GG CAS,3.75874,0.83,2.42,2.01,1.32,1.15,7.78,2.78,8440,6990,D
FY Aur,32.6379,0.21,1.65,0.35,2.35,5.55,9.12,22.44086746,7590,5340,D
FX PER,8.47614,0.76,3.53,2.67,2.66,3.98,42.86,8.87,9100,5010,D
